,original_name,country_code,mapped_name,mapped_bvdId,mapping_score,company_name,BvD ID number ,Country ISO code,"NACE Rev. 2, core code (4 digits)","NAICS 2017, core code (4 digits)",Major sectors,Status,Date of incorporation,Operating revenue (Turnover) <th USD 2018>,Operating revenue (Turnover) <th USD 2017>,Operating revenue (Turnover) <th USD 2016>,Operating revenue (Turnover) <th USD 2015>,Operating revenue (Turnover) <th USD 2014>,Operating revenue (Turnover) <th USD 2013>,Operating revenue (Turnover) <th USD 2012>,Operating revenue (Turnover) <th USD 2011>,Operating revenue (Turnover) <th USD 2010>,Operating revenue (Turnover) <th USD 2009>,P/L for period [=Net income] <th USD 2018>,P/L for period [=Net income] <th USD 2017>,P/L for period [=Net income] <th USD 2016>,P/L for period [=Net income] <th USD 2015>,P/L for period [=Net income] <th USD 2014>,P/L for period [=Net income] <th USD 2013>,P/L for period [=Net income] <th USD 2012>,P/L for period [=Net income] <th USD 2011>,P/L for period [=Net income] <th USD 2010>,P/L for period [=Net income] <th USD 2009>,Total assets <th USD 2018>,Total assets <th USD 2017>,Total assets <th USD 2016>,Total assets <th USD 2015>,Total assets <th USD 2014>,Total assets <th USD 2013>,Total assets <th USD 2012>,Total assets <th USD 2011>,Total assets <th USD 2010>,Total assets <th USD 2009>,Shareholders funds <th USD 2018>,Shareholders funds <th USD 2017>,Shareholders funds <th USD 2016>,Shareholders funds <th USD 2015>,Shareholders funds <th USD 2014>,Shareholders funds <th USD 2013>,Shareholders funds <th USD 2012>,Shareholders funds <th USD 2011>,Shareholders funds <th USD 2010>,Shareholders funds <th USD 2009>,Number of employees <2018>,Number of employees <2017>,Number of employees <2016>,Number of employees <2015>,Number of employees <2014>,Number of employees <2013>,Number of employees <2012>,Number of employees <2011>,Number of employees <2010>,Number of employees <2009>,EBITDA <th USD 2018>,EBITDA <th USD 2017>,EBITDA <th USD 2016>,EBITDA <th USD 2015>,EBITDA <th USD 2014>,EBITDA <th USD 2013>,EBITDA <th USD 2012>,EBITDA <th USD 2011>,EBITDA <th USD 2010>,EBITDA <th USD 2009>
829,KunZhou Information Technology (Chushou TV),CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
830,Thea Kitchen (Biryani Blues),IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
831,America Net,BR,AMERICA NET LTDA,BR01778972000174,scoreA,AMERICA NET LTDA,BR01778972000174,BR,6110,5173,Post & telecommunications,Active,22/04/1997,n.a.,n.a.,"36,827",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,151,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
832,OmniActive Health Technologies,IN,OMNIACTIVE HEALTH TECHNOLOGIES LIMITED,IN0008110101,scoreA,OMNIACTIVE HEALTH TECHNOLOGIES LIMITED,IN0008110101,IN,2120,3254,"Chemicals, rubber, plastics, non-metallic products",Active,27/08/2003,n.a.,n.a.,n.a.,"31,767","27,245","2,557","2,366",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"3,547","2,556",143,228,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"42,924","35,285","3,068","2,295",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"15,479","10,978",882,818,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"7,630","5,876",453,524,n.a.,n.a.,n.a.
833,Amber Enterprises,IN,AMBE ENTERPRISES PRIVATE LIMITED,IN0012906184,scoreA,AMBE ENTERPRISES PRIVATE LIMITED,IN0012906184,IN,3212,3399,"Machinery, equipment, furniture, recycling",Active,25/05/2012,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
834,International Community School,GH,INTERNATIONAL COMMUNITY SCHOOL,GH*P0042266,scoreA,INTERNATIONAL COMMUNITY SCHOOL,GH*P0042266,GH,8510,6111,"Education, Health",Status unknown, ,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
835,Biorad Medisys,IN,BIORAD MEDISYS PRIVATE LIMITED,IN0001706193,scoreA,BIORAD MEDISYS PRIVATE LIMITED,IN0001706193,IN,2660,3345,"Machinery, equipment, furniture, recycling",Active,13/03/2000,n.a.,n.a.,"13,118","7,333","7,114","7,005",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"1,547",161,168,177,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"15,651","10,035","8,126","6,839",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"8,601","5,387","1,429","1,313",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"4,175","1,367","1,271","1,136",n.a.,n.a.,n.a.,n.a.
836,Enaltec Labs,IN,ENALTEC LABS PRIVATE LIMITED,IN0002810819,scoreA,ENALTEC LABS PRIVATE LIMITED,IN0002810819,IN,7211,5417,Other services,Active,24/02/2006,n.a.,n.a.,"25,819","26,037","27,167","20,986","1,554",n.a.,n.a.,n.a.,n.a.,n.a.,373,"1,022","2,844","1,920",108,n.a.,n.a.,n.a.,n.a.,n.a.,"30,039","22,333","22,348","17,226","1,532",n.a.,n.a.,n.a.,n.a.,n.a.,"15,526","9,874","9,380","6,837",544,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"1,811","2,227","4,762","3,375",165,n.a.,n.a.,n.a.
837,Tecnicil Industria,CV,TECNICIL INDUSTRIA S.A.,CV30009QC,scoreA,TECNICIL INDUSTRIA S.A.,CV30009QC,CV,1107,3121,"Food, beverages, tobacco",Active,2008,n.a.,n.a.,n.a.,n.a.,n.a.,"9,601","8,755","8,734","9,243",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"1,069",114,176,955,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"10,630","10,049","10,680","11,180",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"4,125","3,033","2,985","3,474",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,94,104,103,103,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"3,054","2,199","2,154","2,959",n.a.
838,GongCha Korea,KR,"GONGCHA KOREA CO.,LTD.",KR1101114694918,scoreA,"GONGCHA KOREA CO.,LTD.",KR1101114694918,KR,5630,7225,Hotels & restaurants,Active,27/09/2011,n.a.,"75,285","57,359",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"3,595",31,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"72,399","58,595",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"32,510","45,803",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,288,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"10,939","4,419",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
839,Neurotech,SN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
840,Diverza,MX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
841,46 Degrees,CL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
842,Kuapay,CL,KUAPAY CHILE LIMITADA (Alias: KUAPAY LTDA),CL761526936,scoreA,KUAPAY CHILE LIMITADA,CL761526936,CL,6209,5415,Other services,Active,30/05/2011,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
843,Wake of Light Network Technology,CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
844,FitTime,CN,FIT TIME LIMITED,HK0021325053,scoreA,FIT TIME LIMITED,HK0021325053,HK, , , ,Active,09/07/1997,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
845,Hsuanzhang (Kungeek.com),CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
846,EasyLife Financial Services Holding,CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
847,Lando Media,CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
848,Vezeeta,EG,DRBRIDGE COMPANY (Alias: VEZEETA),EG0048400472,scoreA,DRBRIDGE COMPANY,EG0048400472,EG, , , ,Status unknown,2012,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,55,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
849,Stericon Pharma,IN,STERICON PHARMA PRIVATE LIMITED,IN0006260044,scoreA,STERICON PHARMA PRIVATE LIMITED,IN0006260044,IN,2670,3333,"Machinery, equipment, furniture, recycling",Active,10/07/1990,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
850,Suraksha Diagnostic,IN,SURAKSHA DIAGNOSTIC PRIVATE LIMITED,IN0013708343,scoreA,SURAKSHA DIAGNOSTIC PRIVATE LIMITED,IN0013708343,IN,8610,6219,"Education, Health",Active,15/03/2005,n.a.,n.a.,n.a.,"14,963","11,261",0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,829,"1,208",0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"18,889","17,021",0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"8,255","7,870",0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"3,316","2,801",n.a.,n.a.,n.a.,n.a.,n.a.
851,Fabindia Overseas,IN,FABINDIA OVERSEAS PRIVATE LIMITED,IN0002728864,scoreA,FABINDIA OVERSEAS PRIVATE LIMITED,IN0002728864,IN,8299,5614,Other services,Active,14/12/1976,n.a.,n.a.,"205,181","162,605","183,299","165,338",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"12,419","7,139","3,914","6,515",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"146,748","95,623","100,700","97,799",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"104,017","64,471","63,512","63,393",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"29,831","22,242","16,635","16,480",n.a.,n.a.,n.a.,n.a.
852,WatchBanQ Group,CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
853,Foam Plastics Solutions-Flow Control Devices,CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
854,Gastronomia & Negocios,CL,GASTRONOMIA Y NEGOCIOS S.A,CL760835277,scoreA,GASTRONOMIA Y NEGOCIOS S.A,CL760835277,CL, , , ,Active,24/11/2009,n.a.,"16,254",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
855,EKT,EE,EKT OU,EE10111539,scoreA,EKT OU,EE10111539,EE, , , ,Dissolved,17/03/1992,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
856,Eco Management Korea (EMK),KR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
857,Azalai Hotels,ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
858,Clip,MX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
859,FS,BR,F.S . BAURU COMESTIVEIS LTDA (Alias: F.S. BAURU),BR02992029000122,scoreA,F.S . BAURU COMESTIVEIS LTDA,BR02992029000122,BR,5610,7223,Hotels & restaurants,Active,03/02/1999,n.a.,n.a.,921,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,151,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
860,Podotree,KR,PODOTREE INC.,KR1101114397752,scoreA,PODOTREE INC.,KR1101114397752,KR,5829,5112,"Publishing, printing",Active,20/07/2010,n.a.,"123,121",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"4,767",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"155,644",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"140,475",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,130,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"6,870",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
861,JustBooks Solutions,IN,JUSTBOOKS SOLUTIONS PRIVATE LIMITED,IN0016298642,scoreA,JUSTBOOKS SOLUTIONS PRIVATE LIMITED,IN0016298642,IN,8299,5614,Other services,Active,27/09/2016,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
862,Beijing Capital Juda,CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
863,Tiger Brokers,CN,TIGER BROKERS LIMITED,HK0024472665,scoreA,TIGER BROKERS LIMITED,HK0024472665,HK, , , ,Active,08/07/2016,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
864,Qinbaobao,CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
865,Muthoot Microfin,IN,MUTHOOT MICROFIN LIMITED,IN0008499722,scoreA,MUTHOOT MICROFIN LIMITED,IN0008499722,IN,6499,5239,Banks,Active,06/04/1992,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
866,Fix Price,RU,LIMITED LIABILITY COMPANY FIX PRICE - LABINSK,RU10110758,scoreA,LIMITED LIABILITY COMPANY FIX PRICE - LABINSK,RU10110758,RU,4750,4422,Wholesale & retail trade,Active,05/12/2012,n.a.,n.a.,"1,059",740,862,"1,541",0,n.a.,n.a.,n.a.,n.a.,n.a.,66,50,52,147,0,n.a.,n.a.,n.a.,n.a.,n.a.,118,74,86,259,36,n.a.,n.a.,n.a.,n.a.,n.a.,66,50,52,147,0,n.a.,n.a.,n.a.,n.a.,n.a.,35,28,21,26,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
867,Shilpa Medicare,IN,SHILPA MEDICARE LTD,IN31594FI,scoreA,SHILPA MEDICARE LTD,IN31594FI,IN,2120,3254,"Chemicals, rubber, plastics, non-metallic products",Active,1987,n.a.,n.a.,"120,839","109,064","98,241","96,025","68,693","62,471","65,177","59,086",n.a.,n.a.,"16,819","15,646","11,773","12,591","8,704","8,061","11,030","14,677",n.a.,n.a.,"212,192","160,092","144,517","112,784","101,384","84,661","75,747","54,911",n.a.,n.a.,"140,938","99,749","89,682","67,631","60,517","53,947","50,320","22,438",n.a.,n.a.,"1,796","1,404",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"26,268","24,196","20,401","21,192","13,491","12,810","16,013","17,205"
868,Atour Hotel,CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
869,DaDaABC.com,CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
870,Joyworks,CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
871,ShopKirana E Trading,IN,SHOP KIRANA E TRADING PRIVATE LIMITED,IN0013888906,scoreA,SHOP KIRANA E TRADING PRIVATE LIMITED,IN0013888906,IN,4619,4249,Wholesale & retail trade,Active,08/12/2014,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
872,LinkedSee,CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
873,Hangzhou Timevale Information Technology,CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
874,Beijing Yingjitong E-commerce,CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
875,ZCL Chemicals,IN,ZCL CHEMICALS LIMITED,IN0000267355,scoreA,ZCL CHEMICALS LIMITED,IN0000267355,IN,2013,3251,"Chemicals, rubber, plastics, non-metallic products",Active,13/03/1991,n.a.,n.a.,"30,403","42,008","33,843","31,371","32,591","25,574",n.a.,"13,951",n.a.,n.a.,"7,145","7,357","2,723","4,448","2,258","1,727",n.a.,421,n.a.,n.a.,"66,992","44,059","31,091","21,617","23,175","22,406",n.a.,"16,025",n.a.,n.a.,"48,491","18,435","11,740","9,420","7,320","6,185",n.a.,"5,133",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"10,817","11,949","4,738","6,881","3,830","4,048",n.a.,"1,389"
876,iXiandou,CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
877,Kopernikus,RS,KOPERNIKUS DOO LJIG,RS17359827,scoreA,KOPERNIKUS DOO LJIG,RS17359827,RS,6110,5173,Post & telecommunications,Active,25/09/2001,n.a.,n.a.,99,73,71,65,116,n.a.,91,86,n.a.,n.a.,0,0,1,2,11,n.a.,0,3,n.a.,n.a.,66,52,62,79,90,n.a.,37,31,n.a.,n.a.,24,25,28,32,29,n.a.,6,7,n.a.,n.a.,2,2,2,2,3,n.a.,2,0,n.a.,n.a.,2,-14,-9,-4,19,n.a.,8,12
878,Aihuishou International,CN,AIHUISHOU INTERNATIONAL COMPANY LIMITED,HK0001016488,scoreA,AIHUISHOU INTERNATIONAL COMPANY LIMITED,HK0001016488,HK, , , ,Active,13/01/2012,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
879,Yello Mobile,KR,YELLOMOBILE INC.,KR1101114943109,scoreA,YELLOMOBILE INC.,KR1101114943109,KR,7311,5418,Other services,Active,24/08/2012,n.a.,"492,406","366,623","267,632","83,016","8,547",63,n.a.,n.a.,n.a.,n.a.,"-88,551","-95,072","-58,317","-36,292","1,398",-713,n.a.,n.a.,n.a.,n.a.,"904,545","419,942","466,572","359,200","21,456","1,055",n.a.,n.a.,n.a.,n.a.,"71,609","97,417","210,570","199,469","4,233",-397,n.a.,n.a.,n.a.,n.a.,124,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"38,275","-4,763","-24,999","-2,294","1,995",-142,n.a.,n.a.,n.a.
880,"Truck Alliance (56qq.cn, Huochebang)",CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
